Requirement Number,Status,Operating Entity,Group,Unit/ Directorate,Owner Ranking,Title,Justification,Impact if not Funded,"Priority Level (0, 1, 2, A, E)",PEC,BA,SAG,Panel,EEIC,Object Class,ESP,Cost Center,AAI , Requirement Total , Wing Funded Total  , Unfunded Total based on Wing Funded ,PEM Remarks,HQ FMA Remarks, EP Funded Amount , Unfunded Amount Based on EP Funding , Need By Date ,Method of Purchase,Is Recurring,Final FY,Is Civ Pay,Contract Number ,PoP Start Date,PoP End Date,Created By Org,AFGSC/FMAO Reveiwed By
2022-F6790-000001,In Work,F6790,Operations Group,FTU,,GPC CONSUMABLES,"11 BS FTU Consist of 220 Individuals, Gov't Purchase Card purchases for required consumable items/equipment, calibration/repair/replacement of non-fly equipment, weight testing, Mule/repair maintenance and mission critical/sensitive support items not categorized as flying hour authorized/approved. Requirement include cleaning  supplies for facilities not covered on the base cleaning contract due to the fact they are located in a secure area and cannot be added to the contract.","If not funded, it would be forced to reduce the necessary. Lack of funding would result in failure of facility , and support equipment and mission capabilties. Employees will be unable to perform their assigned duties causing mission failure do to not having proper/ Quainty of items.",2,27597F,,011D,K,61950,2603312,,33FI04,387700,"45,000.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000002,In Work,F6790,Basewide,Basewide,,Civilian Pay OCO,Civilian Pay NA,UMD Funded @ 97% w/1.5% inc,0,18534F,,011Z,N,111RG,11100RG,7C,300500,387700,"150,000.00",,,,,,,,,,,Yes,,,,2nd Bomb Wing (ALO),
2022-F6790-000003,In Work,F6790,Operations Group,ATCALS,,GPC CONSUMABLES,"ATCAL (Tower)  consist of 43 individuals in 3 shops airfield ops, RAWS, (Flight instrument specialist) and tower cab.   They Service Barksdale AFB and all tenants assigned. This funding is required for Gov't Purchase Card purchases for required consumable items/equipment, calibration/repair/replacement, Mule/servicing/repair maintenance/replacement,  and mission critical/sensitive support items not categorized as flying hour. This encompasses all aspects of airfield ops, tower Cab and RAWS.  Some items include airfield ops hot Spot for wireless connectivity while on the ramp.  RAWs multiple speciality tools required for duties.  Tower Cab multiple  ground service items to include ear pieces/ head sets. (WHAT IS RAWS) Regulartory guidance ","If not funded, it would be forced to reduce the necessary. Lack of funding would result in failure of facility , and support equipment and mission capabilties. Employees will be unable to perform their assigned duties causing mission failure do to not having proper/ Quainty of items.",2,35114F,,012A,J,61950,2603312,,3311M0,387700,"18,400.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000004,In Work,F6790,Wing Staff Agencies,Violence Prevention Program,,Violence Prevention Program,"The VPI Office provides Suicide Prevention and SAPR mandatory annual training for all AD and Civ personnel assigned to Barksdale AFB, including all tenant unit personnel. As part of this annual TFAT, handouts, rosters and pens, peripheral computer equipment, as well as materials utilized during the workshop are needed for each workshop. In addition, the VPI is responsible for four awareness months throughout the year, and is expected to plan and implement various outreach and educational activities for the installation population. This requires supplies (e.g.- paper, printer ink, pens), printed materials, video recording and editing, locally printed pamphlets, resource materials, etc. The VPI is the SPPM (Suicide Prevention Program Manager) for the installation, which includes additional outreach, education & training, conference attendance and program management responsibilities. These duties, as well as other assigned duties, require professional continuing education in the subject matter as well as frequent use of common office equipment and supplies such as laptop [with dock], computer camera and audio, ergonomic mouse and keyboard, computer monitor (x2), computer cables and connectors, scanner, printer, printer ink, printer paper, pens, correction tape, staples, paper clips, thumb tacks, highlighters, binder clips, garbage bags, annual planner, CD ROM, folders, carry cases, business cards, laminating paper, and other office supplies.  Educational Training for estimated 20 people to facilitate SafeTALK/True Colors programs.",Wing will not have adequate materials and trained facilitators to educate and implement various outreach activities to bring more awareness to suicide prevention for all active duty and civilian personnel assigned to the Wing.,2,88737F,,042G,P,61950,2603312,,3001U4,387000,"37,300.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000005,In Work,F6790,Operations Group,Weather,,Mission TDY,"Weather Squadron consist of 18 individuals, For individuals going TDY and formal training schools and conferences not paid for by AETC . ","Without funding, will be unable to keep manning requirements for current qualified individuals up to date on various matters that occurs in regards to the mission. Mission TDYs required for flight crews, A/C sortie generation, aircraft Divert, 2BW supported Airshows, Weapons System Reviews and specialist mandated training (not AETC funded).",2,35111F,,012A,I,40924,2101101,,331000,387700,"10,000.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000006,In Work,F6790,Operations Group,Weather,,GPC CONSUMABLES,"Weather Squadron consist of 32 individuals they Service,  2d OG (3 Squadrons) Gov't Purchase Card purchases for required consumable items/equipment, calibration/repair/replacement of non-fly equipment, weight testing, and mission critical/sensitive support items not categorized as flying hour authorized/approved.","If not funded, it would be forced to reduce the necessary. Lack of funding would result in failure of facility , and support equipment.  ",2,35111F,,012A,I,61950,2603312,,331000,387700,"12,000.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000007,In Work,F6790,Operations Group,2 OG,,TDY RESERVE MANDAYS,Funds needed to support Reserve Manpower Days during High Ops Tempo and Large Scale Exercises and critically short shops TDY FUNDS ONLY,Reservists would not be able to use the authorized man-days because no funds are available for the travel and per diem for them to come from outside local area,2,11113F,,011A,E,40945,2101106,,331000,387700,"130,000.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000008,In Work,F6790,Operations Group,2 OG,,GPC CONSUMABLES,"2d OG Gov't Purchase Card purchases for required consumable items/equipment, calibration/repair/replacement of non-fly equipment, weight testing, Mule/repair maintenance and mission critical/sensitive support items not categorized as flying hour authorized/approved. ","If not funded, it would be forced to reduce the necessary. Lack of funding would result in failure of facility , and support equipment and mission capabilties. Employees will be unable to perform their assigned duties causing mission failure do to not having proper/ Quainty of items.",1,11113F,,011A,E,61950,2603312,,331000,387700,"30,000.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000009,In Work,F6790,Operations Group,2 OG,,FUEL VEHICLE ,Ground fuel used for vehicles to support day-to-day flightline operations For entire OG to include all 4 Squadrons. Prior to aircraft launch an individual has to drive around the aircraft to ensure all panels and doors are secure. After each aircraft launch airfield.  operations has to perform a runway sweep to ensure no obstructions is on the runway.  weekdays have a minimum of 6 flights per day .  If aircaraft has issue prior to take off vehicles are used to  transport maintenance and parts to aircraft.  ,Lack of funding would inhibit the launching and recovery of all aircraft from barksdale AFB.  If individuals had to walk to aircraft ramp it would severly increase the time to get to aircraft and fix resulting in missing mission requirments increase flight time and reducing combat capabilty by not having crew members current on training,1,11113F,,011A,E,641,2601301,,331000,387700,"6,000.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000010,In Work,F6790,Maintenance Group,2 AMXS,,Mission TDY,Mission TDYs required for flying crew chief chamber training and Aircraft sortie generation/recovery,"Failure to recover aircraft from locations other than BAFB will degrade the mission.  Also, specific training not conducted at BAFB is required for our crew chiefs required to fly with aircrew personnel on missions, without funding, 2 AMXS would be unable to replace currently certified crew chiefs when they PCS.",1,11113F,,011A,E,40924,2101101,,34FIG0,387700,"22,000.00",,"22,000.00",,,,"22,000.00",,DTS,Yes,,No,,,,2nd Bomb Wing (ALO),
